Departamento ;Municipio;Agencia_Organizacion;Institucion_donde_se_entrega;Nombre_institucion;Insumo;Unidad_de_medidad; Cantidad_personas ;Disponible ;Entregado;Fecha_de_entrega
Antioquia;Medellin;OIM;Total Albergue;;;;1000;No;Si;Abril
Antioquia;Medellin;OIM;Total Comunidad;;;;500;No;Si;Abril
Antioquia;Remedios;OIM;Total Comunidad;;;;200;No;Si;Abril
Antioquia;Vigía del Fuerte;OIM;Total Comunidad;;;;200;No;Si;Abril
Arauca ;Arauca;OIM;Total Hospital;;;;2000;No;Si;Abril
Arauca ;Arauquita;OIM;Total Comunidad;;;;150;No;Si;Abril
Arauca ;Arauquita;OIM;Total Hospital;;;;1100;No;Si;Abril
Arauca ;Arauquita;OIM;Total Institución Pública;;;;500;No;Si;Abril
Arauca ;Tame;OIM;Total Hospital;;;;1000;No;Si;Abril
Atlántico;Barranquilla;OIM;Total Hospital;;;;1400;No;Si;Abril
Atlántico;Barranquilla;OIM;Total Institución Pública;;;;1100;No;Si;Abril
Atlántico;Barranquilla;World Vision;Total Hospital;;;;5730;Si;No;Mayo
Atlántico;Barranquilla- Soledad;OIM;Total Comunidad;;;;1000;No;Si;Abril
Atlántico;Soledad;OIM;Total Institución Pública;;;;2800;No;Si;Abril
Caquetá ;La Montañita;OIM;Total Comunidad;;;;150;No;Si;Abril
Caquetá ;La Montañita;OIM;Total Hospital;;;;350;No;Si;Abril
Caquetá ;San Vicente del Caguán;OIM;Total Comunidad;;;;200;No;Si;Abril
Caquetá ;San Vicente del Caguán;OIM;Total Hospital;;;;250;No;Si;Abril
Caquetá ;San Vicente del Caguán;OIM;Total Institución Pública;;;;50;No;Si;Abril
Casanare;;;Total Institución Pública;;;;1000;No;Si;Abril
Cauca;Buenos Aires;OIM;Total Comunidad;;;;50;No;Si;Abril
Cauca;Buenos Aires;OIM;Total Hospital;;;;450;No;Si;Abril
Cesar;La Paz;OIM;Total Comunidad;;;;175;No;Si;Abril
Cesar;La Paz;OIM;Total Hospital;;;;300;No;Si;Abril
Cesar;La Paz;OIM;Total Institución Pública;;;;25;No;Si;Abril
Cesar;Valledupar;OIM;Total Comunidad;;;;1500;No;Si;Abril
Cesar;Valledupar;OIM;Total Hospital;;;;3000;No;Si;Abril
Cesar;Valledupar;OIM;Total Institución Pública;;;;1500;No;Si;Abril
Chocó;Quibdó;OIM;Total Institución Pública;;;;1000;No;Si;Abril
Chocó;Riosucio;OIM;Total Comunidad;;;;150;No;Si;Abril
Chocó;Riosucio;OIM;Total Hospital;;;;300;No;Si;Abril
Chocó;Riosucio;OIM;Total Institución Pública;;;;50;No;Si;Abril
Córdoba;Tierralta;OIM;Total Hospital;;;;250;No;Si;Abril
Córdoba;Tierralta;OIM;Total Institución Pública;;;;250;No;Si;Abril
Cundinamarca;Bogotá ;OIM;Total Comunidad;;;;500;No;Si;Abril
Cundinamarca;Bogotá ;OIM;Total Hospital;;;;2600;No;Si;Abril
Cundinamarca;Chía ;OIM;Total Comunidad;;;;400;No;Si;Abril
Cundinamarca;Chía ;OIM;Total Hospital;;;;2000;No;Si;Abril
Cundinamarca;Chía ;OIM;Total Institución Pública;;;;200;No;Si;Abril
Cundinamarca;Soacha ;OIM;Total Comunidad;;;;2500;No;Si;Abril
Cundinamarca;Soacha ;OIM;Total Hospital;;;;500;No;Si;Abril
Cundinamarca;Soacha;World Vision;Total Hospital;;;;5730;Si;No;Mayo
Cundinamarca;Soacha ;OIM;Total Comunidad;;;;100;No;Si;Abril
Cundinamarca;Soacha ;OIM;Total Hospital;;;;2000;No;Si;Abril
La Guajira;Fonseca;OIM;Total Comunidad;;;;200;No;Si;Abril
La Guajira;Fonseca;OIM;Total Hospital;;;;300;No;Si;Abril
La Guajira;Maicao;OIM;Total Hospital;;;;2000;No;Si;Abril
La Guajira;Maicao;OIM;Total Institución Pública;;;;500;No;Si;Abril
La Guajira;Riohacha;OIM;Total Hospital;;;;2000;No;Si;Abril
La Guajira;Riohacha;OIM;Total Institución Pública;;;;800;No;Si;Abril
La Guajira;Riohacha y Maicao;OIM;Total Comunidad;;;;1000;No;Si;Abril
La Guajira;San Juan del Cesar;OIM;Total Hospital;;;;1000;No;Si;Abril
La Guajira;Uribia;OIM;Total Hospital;;;;1000;No;Si;Abril
;;;Total Pendiente entrega a las instituciones;;;;450;No;Si;Abril
